Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Feel the Pain","Dinosaur Jr.","Without a Sound","BW26","Playlist","GBAHT0105761","6xUMt58RCX98m7g0KcMwAS"
"I Drink Alone","George Thorogood & The Destroyers","Maverick","BW26","Playlist","USEM38500078","2nIDPfhjHZP8UOXPenLZUC"
"Don't Disturb This Groove","The System","Don't Disturb This Groove","BW26","Playlist","CAU111120692","151gAhQR76u8cbx3TriI65"
"Let My Love Open The Door","Pete Townshend","Empty Glass","BW26","Playlist","GBUM71500440","0otlwsD3mSogk7VJCTp6Kg"
"Black Water","The Doobie Brothers","What Were Once Vices Are Now Habits","BW26","Playlist","USWB19900754","4p8QcNkaq2FQj8uGJ7HEDK"
"So Cold","Balu Brigada","Portal","BW26","Playlist","AUWA02400338","2SGyf0hCuB81F85cHXuRjl"
"Fell On Black Days","Soundgarden","Superunknown (20th Anniversary)","BW26","Playlist","USAM19400003","21HWc9gFZKNdkGzGqHLq3A"
"Livin' On The Edge","Aerosmith","Get A Grip","BW26","Playlist","USIR10000445","3Kv9uUVgt598jYAK79fPQb"
"Sitting Still","R.E.M.","Radio Free Europe","BW26","Playlist","USC4R2105189","0GF23i14GwGKo92PJKlqp8"
"See A Little Light","Bob Mould","Workbook","BW26","Playlist","USVI29401087","7LdKMBKthcdBnAqlAIGqCB"
"Hummer - 2011 Remaster","The Smashing Pumpkins","Siamese Dream (2011 - Remaster)","BW26","Playlist","USVI21100149","7jySCb55R5VWOusbL7b559"
"Acquiesce - Live from Wembley Stadium, 28 September ’25","Oasis","Acquiesce (Live from Wembley Stadium, 28 September ’25)","BW26","Playlist","GBAZP2500277","7sMkJj7BV3YZHsPYr7r6Fz"
"Blood and Roses","The Smithereens","Blood and Roses","BW26","Playlist","USBT21621569","1aP2zAJsbXWrP4YLqoYPDS"
"Somewhere - Remastered 2016","Soundgarden","Badmotorfinger (25th Anniversary Remaster)","BW26","Playlist","USAM10000172","4t7NZcgdC30fH75Noqyy7I"
"Crown Of Thorns","Mother Love Bone","On Earth As It Is: The Complete Works","BW26","Playlist","USF069026310","68MTteXyfgMhRXlj0ANY65"
"We Outlast Them All","Guided By Voices","We Outlast Them All","BW26","Playlist","USNUM2612504","10EZYGDxRLv1odrwJYrnla"
"More Than This","Roxy Music","Avalon","BW26","Playlist","GBAAA9900092","6N7gPTru90HYLRUIVDQ185"
"Boulevard of Broken Dreams","Green Day","American Idiot (20th Anniversary Deluxe Edition)","BW26","Playlist","USRE11200337","0U87auHx1iZTEFcq9KVdmO"
"Turn To You","The Go-Go's","Talk Show","BW26","Playlist","USAM18404348","4y8RO3ws5u1eEdqHM1z5QP"
"Lonely Is The Night - Remastered 2010","Billy Squier","Don't Say No (Remastered 2010)","BW26","Playlist","USCA21001207","28eg5bkYvIHT7HPmzZFwLN"
"Would That Not Be Nice","Divine Fits","A Thing Called Divine Fits","BW26","Playlist","USMRG1245504","5dxNgHm4D5CDJT8AaHcb6A"
"Too Much Time On My Hands","Styx","Paradise Theatre","BW26","Playlist","USAM18000370","4hWUOIDHda9XOb1zDchftP"
"I Need A Lover","John Mellencamp","A Biography","BW26","Playlist","USJM17900001","47lkghP0AjBkqOGzbxC2Mt"
"Fight The Good Fight","Triumph","Allied Forces","BW26","Playlist","CAT311000186","27Bj3kIl4HARQ4H5OcoyF1"
"Rockin' Down the Highway","The Doobie Brothers","Toulouse Street","BW26","Playlist","USWB19900755","565hWcHxsYRepQVtIRNYFK"
"Wild Side","Mötley Crüe","Girls, Girls, Girls (Deluxe Version)","BW26","Playlist","USBY29900189","7zVpUAOuXY7pHHSm21jFEq"
"The Seeker - Original Single A-Side Mix","The Who","Who’s Next : Life House (Super Deluxe)","BW26","Playlist","GBUM72204806","788cNfvhhitTb5T8GORmqj"
"Everybody Wants You","Billy Squier","Absolute Hits","BW26","Playlist","USCA20200156","2Z9B8sd6HgEfCWqvOfhFD0"
"Up Around The Bend","Creedence Clearwater Revival","Cosmo's Factory","BW26","Playlist","USFI87000058","56dtB7EzO7EneUgYwX8krC"
"Back In the Saddle","Aerosmith","Rocks","BW26","Playlist","USSM19930826","3WPYapjyqcVpShYXQuChcs"
"Rain On The Scarecrow","John Mellencamp","Scarecrow","BW26","Playlist","USJM19900005","24iUpyUeGv6AoikfxpRofO"
"Photograph","Def Leppard","Pyromania","BW26","Playlist","GBF088300067","18URo35acNKRTHfEdjTcGn"
"Rock Me Tonite","Billy Squier","Signs Of Life","BW26","Playlist","USCA28700492","12c1PXyghlSuNVO9GZi0DH"
"Looks That Kill","Mötley Crüe","Shout At The Devil","BW26","Playlist","USBY29900160","1Cznl5CD5aaEYMfJq1l9Hd"
"Shoot to Thrill","AC/DC","Back In Black","BW26","Playlist","AUAP08000042","0C80GCp0mMuBzLf3EAXqxv"
"Kickstart My Heart","Mötley Crüe","Dr. Feelgood","BW26","Playlist","USBY29900215","4Yqy0GpeDEXLibWJCZyQew"
"Emotions In Motion","Billy Squier","Emotions In Motion","BW26","Playlist","USCA28800334","6wWps1wyZVFb2tjIc2gWGW"
"Think I'm In Love","Eddie Money","No Control","BW26","Playlist","USSM18200742","6mJQe0vTIojlxwyMwwy6YR"
"Unskinny Bop","Poison","Flesh & Blood","BW26","Playlist","USCA20501449","1Z6lKdYhwp8WYoBqGCKxlM"
"Gone Shootin'","AC/DC","Powerage","BW26","Playlist","AUAP07800011","69MwNXryg6NT1lV7buN7U7"
"Randy","Justice","Randy","BW26","Playlist","FR9W11607811","1SxC0lHZ0OyEV4lvh5v9tm"
"Supernaut - 2020 Remaster","Black Sabbath","Vol. 4 (2021 Remaster)","BW26","Playlist","USRH12003000","1i6AoL8Za376DHb38lo9AR"
"Smoke on the Water (Live in Osaka, Japan, 8/15/1972) - Steven Wilson Remix","Deep Purple","Made in Japan (Steven Wilson Remix) [Live]","BW26","Playlist","USRH12403276","4ZzelsfJt6AoLqScqfZycW"
"Dracula","Tame Impala","Dracula","BW26","Playlist","USQX92505447","5adNBXEoLla10lGJcGzRIL"
"The Electric Co. - Remastered 2008","U2","Boy (Remastered)","BW26","Playlist","GBUM70713124","2dIy0beOgV3XLuPLTbYeiB"
"Wheel in the Sky (2024 Remaster)","Journey","Greatest Hits (2024 Remaster)","BW26","Playlist","USSM17800105","5i36c6C2XRw8U71yWgcoTn"
"Kilby Girl","The Backseat Lovers","When We Were Friends","BW26","Playlist","USCGH1936387","1170VohRSx6GwE6QDCHPPH"
"When I'm Gone","3 Doors Down","Away From The Sun","BW26","Playlist","USUR10200759","3WbphvawbMZ8FyqDxYGdSQ"
"So Far Gone","The Early Years","The Early Years","BW26","Playlist","GBAZP0600014","6kkEikVsdv0ExJMSJgBMFN"
"Sunburned in London","Rolling Blackouts Coastal Fever","Sunburned in London","BW26","Playlist","AULI02565680","3yl2nZ7PzggmJ0QOqA8OZT"
"I Was Made For Lovin' You","KISS","Dynasty","BW26","Playlist","USPR39330175","07q0QVgO56EorrSGHC48y3"
"Like Suicide","Soundgarden","Superunknown (20th Anniversary)","BW26","Playlist","USAM19400015","0vdnSGPeqDln5UHIcYYfS3"
"Plush - 2017 Remaster","Stone Temple Pilots","Core (Super Deluxe Edition)","BW26","Playlist","USAT21701897","0CkspLl535ZxdwCRs8AdZ4"
"Godless","The Dandy Warhols","Thirteen Tales From Urban Bohemia","BW26","Playlist","USCA20000231","4vJRdgiKKzF36ZqUH0ha6A"
"Sour Girl","Stone Temple Pilots","No. 4","BW26","Playlist","USAT29901562","6wNwHBUjsessjRioNVFbaO"
"Dancing Days - 2019 Remaster","Stone Temple Pilots","Purple (Super Deluxe Edition) [2019 Remaster]","BW26","Playlist","USRH11902220","39wwDk4Q6o4EHGqle5sf7d"
"All in the Suit That You Wear","Stone Temple Pilots","Thank You","BW26","Playlist","USAT20302153","17Nk1aji6gd26vabky7fMi"
"Piece of Pie - 2017 Remaster","Stone Temple Pilots","Core (Super Deluxe Edition)","BW26","Playlist","USAT21701894","03h7aLNRDhxMOmVLcbtfl1"
"I'll Stick Around","Foo Fighters","Foo Fighters","BW26","Playlist","USRW29500010","4LGKzrdEeBwR9UHCGlDT0W"
"The Hunter","Free","Tons Of Sobs","BW26","Playlist","GBAAN6800007","6zFFYdst2u4PIKykSU7HOT"
"A Song From Under The Floorboards","Magazine","The Complete John Peel Sessions","BW26","Playlist","GBCAD0001052","3y6I3mmoWq8YQeN6NGFfon"
"All Your Lies","Soundgarden","Ultramega OK (Expanded Reissue)","BW26","Playlist","USSUB1617202","4QPIp6AKNrCqFTaUuOYl0O"
"Mood for Trouble","Soundgarden","Ultramega OK (Expanded Reissue)","BW26","Playlist","USSUB1617206","3jQ5FQxLRJiLvv6UPj0KIH"
"Havana","Gary Myrick","4 Singles","BW26","Playlist","QZZ782626940","4lMj55jbeHXYBXM5Z6wvMP"
"Fame Is Dangerous","Gary Myrick","4 Singles","BW26","Playlist","QZZ782626939","49m5Z5iG65fXr1Pvm4rQ08"
"Everyone Has a Summer","Lovage","Lovage: Music to Make Love to Your Old Lady By","BW26","Playlist","QMWWU1100004","5yGAtvmSwEOjfyLjjREAyy"
"Hand in Glove - 2011 Remaster","The Smiths","Louder Than Bombs","BW26","Playlist","GBCRL1100069","17OgrEnuBJlrm0eksr3hfd"
"Until The End Of The World","U2","Achtung Baby (Deluxe Edition)","BW26","Playlist","GBUM71106462","4iiX7axMHcc76BGM0QJEY5"
"In A Life","U2","Easter Lily EP","BW26","Playlist","GBUM72602205","1fbIlgO7EgYsDzk3r3uRz2"
"Why Can't I Be You?","The Cure","Kiss Me, Kiss Me, Kiss Me","BW26","Playlist","USEE18700007","3RcrFgETR1QGjzV6ZzIRBy"
"I Sat by the Ocean","Queens of the Stone Age","...Like Clockwork","BW26","Playlist","USMTD1303752","1D3YGmST01Ba0WRiT7THPG"
"Little Sister","Queens of the Stone Age","Lullabies To Paralyze","BW26","Playlist","USIR10401154","0BqQWfhMrkpRAUCbdfdHUC"
"If Only","Queens of the Stone Age","Queens of the Stone Age","BW26","Playlist","GBCEL1001085","60wTHSJ0PxxwZDiSLiFaQX"
"The Lost Art Of Keeping A Secret","Queens of the Stone Age","Rated R","BW26","Playlist","USIR10000340","1RwDsaft1szD0FO3DVEtaT"
"Cowboy Song - Live","Thin Lizzy","'Live And Dangerous'","BW26","Playlist","USWB19903680","45IMiWdNPuIV55agMZAZ6h"
"Deep End","The Lemonheads","Love Chant","BW26","Playlist","GBCKK2580401","7ByP3rz2qHhCoXyphUufad"
"The Bottom Line","Big Audio Dynamite","This Is Big Audio Dynamite","BW26","Playlist","USSM18500270","7L047y1ZHviYNfScX0wLXa"
"Sister Havana","Urge Overkill","Saturation","BW26","Playlist","USGF19352901","6E8hhcSnvtevktpFSnHmjK"
"Twice As Hard","The Black Crowes","Shake Your Money Maker","BW26","Playlist","USSM19000338","4nJlfdLIucLBkXEJPsSCSp"
"Remedy","The Black Crowes","The Southern Harmony And Musical Companion","BW26","Playlist","USSM19200288","4FgGFfL3FxvNxybHFcaz3m"
"Eminence Front","The Who","It's Hard","BW26","Playlist","GBAKW8200124","0LN5gIsS5tQSmRzQrHSaTR"
